test_name,elapsed_time,compile_time,exec_time
blake2b-8415-bytes,2.574186086654663,2.218195,0.004844
blake2b-8415-bytes,2.08976411819458,1.776858,0.009358
blake2b-8415-bytes,2.1256885528564453,1.830183,0.00531
blake2b-8415-bytes,2.063483238220215,1.762848,0.003802
blake2b-8415-bytes,2.0973477363586426,1.803652,0.004578
blake2b-8415-bytes,2.0381691455841064,1.741773,0.004401
blake2b-8415-bytes,2.1643054485321045,1.869662,0.00451
blake2b-8415-bytes,2.184581995010376,1.886453,0.005249
blake2b-8415-bytes,2.459174633026123,2.119585,0.004526
blake2b-8415-bytes,2.2769250869750977,1.975576,0.004607
blake2b-8415-bytes,2.380427360534668,2.078094,0.005722
blake2b-8415-bytes,2.245810031890869,1.911595,0.004262
blake2b-8415-bytes,2.1508662700653076,1.897904,0.004128
blake2b-8415-bytes,2.1038479804992676,1.80945,0.004892
blake2b-8415-bytes,2.4112346172332764,2.08276,0.006425
blake2b-8415-bytes,2.4827258586883545,2.094245,0.004755
blake2b-8415-bytes,2.9254660606384277,2.598564,0.005878
blake2b-8415-bytes,2.4136927127838135,2.0792,0.004349
blake2b-8415-bytes,2.2324564456939697,1.92574,0.004033
blake2b-8415-bytes,2.692225217819214,2.390918,0.004924
blake2b-8415-bytes,2.2842907905578613,1.935874,0.004266
blake2b-8415-bytes,2.13747239112854,1.820896,0.004602
blake2b-8415-bytes,2.145890712738037,1.83504,0.004399
blake2b-2805-bytes,2.2346177101135254,1.923086,0.002252
blake2b-2805-bytes,2.0539815425872803,1.703344,0.00285
blake2b-2805-bytes,2.630708932876587,2.256603,0.002366
blake2b-2805-bytes,2.05153489112854,1.700403,0.002296
blake2b-2805-bytes,2.18969464302063,1.833742,0.0027
blake2b-2805-bytes,2.1925957202911377,1.901578,0.002296
blake2b-2805-bytes,2.131835460662842,1.825568,0.002274
blake2b-2805-bytes,2.148932933807373,1.854505,0.002497
blake2b-2805-bytes,2.1834611892700195,1.881732,0.001867
blake2b-2805-bytes,2.2082722187042236,1.917957,0.002726
blake2b-2805-bytes,2.0429155826568604,1.759315,0.002181
blake2b-2805-bytes,2.0089657306671143,1.722053,0.002596
blake2b-2805-bytes,2.154655933380127,1.845626,0.002132
blake2b-2805-bytes,2.0925188064575195,1.792783,0.002203
blake2b-2805-bytes,1.9502241611480713,1.654882,0.002367
blake2b-2805-bytes,2.1616523265838623,1.853331,0.00226
blake2b-2805-bytes,2.1483335494995117,1.787924,0.002307
blake2b-2805-bytes,2.22244930267334,1.893939,0.002918
blake2b-2805-bytes,2.868661403656006,2.412585,0.002554
blake2b-2805-bytes,2.179743766784668,1.858187,0.002092
blake2b-2805-bytes,2.2985312938690186,1.990474,0.003015
blake2b-2805-bytes,2.0606188774108887,1.735622,0.002339
blake2b-2805-bytes,2.3265790939331055,2.017788,0.002564
blake2b-2805-bytes,2.3319242000579834,1.973084,0.002638
blake2b-2805-bytes,2.3602631092071533,2.026263,0.00241
blake2b-2805-bytes,2.227372407913208,1.893675,0.002017
blake2b-2805-bytes,2.319643259048462,1.936334,0.00251
blake2b-5610-bytes,2.136972427368164,1.783106,0.003065
blake2b-5610-bytes,2.1793711185455322,1.886144,0.003502
blake2b-5610-bytes,2.4418931007385254,2.082952,0.003567
blake2b-5610-bytes,2.2358202934265137,1.888954,0.003496
blake2b-5610-bytes,2.1333131790161133,1.779867,0.003464
blake2b-5610-bytes,2.093510150909424,1.705213,0.003629
blake2b-5610-bytes,2.366610288619995,2.033971,0.003792
blake2b-5610-bytes,2.2755126953125,1.903463,0.003227
blake2b-5610-bytes,2.32055926322937,1.944697,0.003944
blake2b-5610-bytes,2.2683892250061035,1.886177,0.00395
blake2b-5610-bytes,2.25386905670166,1.953988,0.003144
blake2b-5610-bytes,2.1475796699523926,1.84263,0.005898
blake2b-5610-bytes,2.513486623764038,2.157353,0.00309
blake2b-5610-bytes,2.223297595977783,1.852984,0.00331
blake2b-5610-bytes,2.0794124603271484,1.781052,0.004273
blake2b-5610-bytes,2.0081946849823,1.651327,0.003371
blake2b-5610-bytes,2.0000596046447754,1.709303,0.003696
blake2b-5610-bytes,2.0904464721679688,1.790914,0.004674
blake2b-5610-bytes,2.17085862159729,1.79964,0.003348
blake2b-5610-bytes,2.0923750400543213,1.781326,0.003715
blake2b-5610-bytes,1.9340252876281738,1.684221,0.003652
blake2b-5610-bytes,2.057783603668213,1.73617,0.003436
blake2b-5610-bytes,2.000535249710083,1.699288,0.004588
blake2b-5610-bytes,2.1348018646240234,1.841007,0.004097
blake2b-5610-bytes,2.07745099067688,1.77947,0.007939
blake2b-5610-bytes,2.229607105255127,1.906758,0.003527
blake2b-5610-bytes,1.9964573383331299,1.711496,0.003115
blake2b-5610-bytes,2.0592663288116455,1.754208,0.003714
