test_name,elapsed_time,compile_time,exec_time
blake2b-8415-bytes,0.2347428798675537,0.223532,0.001059
blake2b-8415-bytes,0.2319016456604004,0.218231,0.001362
blake2b-8415-bytes,0.251157283782959,0.237162,0.001228
blake2b-8415-bytes,0.28587770462036133,0.271122,0.001005
blake2b-8415-bytes,0.24169611930847168,0.22576,0.001009
blake2b-8415-bytes,0.24218201637268066,0.231087,0.00099
blake2b-8415-bytes,0.24315857887268066,0.230073,0.001009
blake2b-8415-bytes,0.24672603607177734,0.232744,0.00101
blake2b-8415-bytes,0.23498034477233887,0.221882,0.001144
blake2b-8415-bytes,0.23586678504943848,0.22286,0.001105
blake2b-8415-bytes,0.24449682235717773,0.229639,0.001171
blake2b-8415-bytes,0.23555684089660645,0.222523,0.001091
blake2b-8415-bytes,0.23222899436950684,0.219974,0.001519
blake2b-8415-bytes,0.23281645774841309,0.219862,0.000984
blake2b-8415-bytes,0.23749518394470215,0.223776,0.001172
blake2b-8415-bytes,0.23402166366577148,0.221124,0.001036
blake2b-8415-bytes,0.24388980865478516,0.230285,0.001398
blake2b-8415-bytes,0.2705569267272949,0.255386,0.001587
blake2b-8415-bytes,0.2524228096008301,0.24008,0.001004
blake2b-8415-bytes,0.23292088508605957,0.221203,0.000994
blake2b-8415-bytes,0.2315068244934082,0.21884,0.001038
blake2b-8415-bytes,0.23635387420654297,0.219662,0.001068
blake2b-8415-bytes,0.23354125022888184,0.221514,0.000999
blake2b-8415-bytes,0.2392745018005371,0.226834,0.001053
blake2b-8415-bytes,0.23308873176574707,0.219826,0.001173
blake2b-8415-bytes,0.24146437644958496,0.22827,0.00128
blake2b-8415-bytes,0.24069523811340332,0.225193,0.001008
blake2b-8415-bytes,0.23968887329101562,0.225532,0.000991
blake2b-8415-bytes,0.23728394508361816,0.224434,0.001091
blake2b-8415-bytes,0.24631261825561523,0.227164,0.000989
blake2b-8415-bytes,0.23930668830871582,0.226562,0.001127
blake2b-8415-bytes,0.23111414909362793,0.219514,0.001209
blake2b-8415-bytes,0.24099326133728027,0.227344,0.000989
blake2b-8415-bytes,0.23573541641235352,0.223889,0.000997
blake2b-8415-bytes,0.24030709266662598,0.2273,0.00109
blake2b-8415-bytes,0.3340311050415039,0.319968,0.001639
blake2b-8415-bytes,0.27448463439941406,0.260232,0.00101
blake2b-8415-bytes,0.2551603317260742,0.238688,0.001277
blake2b-8415-bytes,0.2520771026611328,0.238609,0.001186
blake2b-8415-bytes,0.2552487850189209,0.242749,0.00101
blake2b-8415-bytes,0.24570703506469727,0.231467,0.001277
blake2b-8415-bytes,0.23638916015625,0.224108,0.001068
blake2b-8415-bytes,0.2921757698059082,0.278883,0.001725
blake2b-8415-bytes,0.2435441017150879,0.229722,0.001116
blake2b-8415-bytes,0.23291921615600586,0.218689,0.000986
blake2b-8415-bytes,0.23374199867248535,0.222096,0.001034
blake2b-8415-bytes,0.23701190948486328,0.224204,0.000982
blake2b-8415-bytes,0.23805975914001465,0.225276,0.000987
blake2b-8415-bytes,0.23965978622436523,0.227793,0.001308
blake2b-8415-bytes,0.23349523544311523,0.22012,0.000988
blake2b-2805-bytes,0.13614892959594727,0.12272,0.00143
blake2b-2805-bytes,0.15574073791503906,0.134706,0.001641
blake2b-2805-bytes,0.14591360092163086,0.130413,0.00134
blake2b-2805-bytes,0.12065315246582031,0.108667,0.000978
blake2b-2805-bytes,0.12360763549804688,0.111049,0.001128
blake2b-2805-bytes,0.11893820762634277,0.107786,0.001069
blake2b-2805-bytes,0.12645387649536133,0.1123,0.001338
blake2b-2805-bytes,0.11464905738830566,0.102786,0.001065
blake2b-2805-bytes,0.2482593059539795,0.232955,0.002252
blake2b-2805-bytes,0.24777960777282715,0.225218,0.002076
blake2b-2805-bytes,0.1474132537841797,0.126198,0.001372
blake2b-2805-bytes,0.11469459533691406,0.101498,0.001045
blake2b-2805-bytes,0.14348912239074707,0.128994,0.001415
blake2b-2805-bytes,0.13973379135131836,0.122113,0.001278
blake2b-2805-bytes,0.12291145324707031,0.10904,0.001724
blake2b-2805-bytes,0.13895106315612793,0.123947,0.001411
blake2b-2805-bytes,0.14733076095581055,0.133093,0.001423
blake2b-2805-bytes,0.12824678421020508,0.114263,0.001204
blake2b-2805-bytes,0.11137557029724121,0.099602,0.001154
blake2b-2805-bytes,0.1044161319732666,0.091958,0.001076
blake2b-2805-bytes,0.11003327369689941,0.096232,0.000982
blake2b-2805-bytes,0.10590624809265137,0.092067,0.001146
blake2b-2805-bytes,0.11254286766052246,0.09779,0.00104
blake2b-2805-bytes,0.10717177391052246,0.092308,0.00104
blake2b-2805-bytes,0.13936185836791992,0.123459,0.0018
blake2b-2805-bytes,0.14443707466125488,0.125648,0.001253
blake2b-2805-bytes,0.0791013240814209,0.100384,0.001242
blake2b-2805-bytes,0.12000799179077148,0.10557,0.001116
blake2b-2805-bytes,0.11699295043945312,0.104155,0.001393
blake2b-2805-bytes,0.11858201026916504,0.103219,0.001496
blake2b-2805-bytes,0.1296231746673584,0.115052,0.001331
blake2b-2805-bytes,0.16012978553771973,0.145118,0.00141
blake2b-2805-bytes,0.13532137870788574,0.120365,0.001243
blake2b-2805-bytes,0.12494874000549316,0.110525,0.001068
blake2b-2805-bytes,0.11857151985168457,0.106769,0.001097
blake2b-2805-bytes,0.1073756217956543,0.093815,0.001096
blake2b-2805-bytes,0.11780929565429688,0.103541,0.000978
blake2b-2805-bytes,0.1130375862121582,0.098434,0.000991
blake2b-2805-bytes,0.10680747032165527,0.095575,0.00111
blake2b-2805-bytes,0.1256864070892334,0.108245,0.001335
blake2b-2805-bytes,0.1361083984375,0.120948,0.001396
blake2b-2805-bytes,0.10873293876647949,0.097402,0.001062
blake2b-2805-bytes,0.12073087692260742,0.107784,0.001206
blake2b-2805-bytes,0.10457086563110352,0.092406,0.000976
blake2b-2805-bytes,0.10825061798095703,0.091934,0.001057
blake2b-2805-bytes,0.11150860786437988,0.09883,0.00161
blake2b-2805-bytes,0.10779428482055664,0.095163,0.001726
blake2b-2805-bytes,0.11065316200256348,0.098651,0.000991
blake2b-2805-bytes,0.1071467399597168,0.094717,0.000977
blake2b-2805-bytes,0.10823845863342285,0.095912,0.001
blake2b-5610-bytes,0.18860387802124023,0.176176,0.001326
blake2b-5610-bytes,0.16820240020751953,0.15587,0.001208
blake2b-5610-bytes,0.16023921966552734,0.147744,0.001375
blake2b-5610-bytes,0.20121216773986816,0.187065,0.001364
blake2b-5610-bytes,0.16978764533996582,0.157615,0.001252
blake2b-5610-bytes,0.16981744766235352,0.153985,0.00104
blake2b-5610-bytes,0.15363192558288574,0.142159,0.001001
blake2b-5610-bytes,0.17061877250671387,0.157152,0.001261
blake2b-5610-bytes,0.19048571586608887,0.178587,0.001284
blake2b-5610-bytes,0.17471981048583984,0.163585,0.00107
blake2b-5610-bytes,0.1630723476409912,0.151828,0.001155
blake2b-5610-bytes,0.17212581634521484,0.161087,0.001202
blake2b-5610-bytes,0.18534350395202637,0.17194,0.001277
blake2b-5610-bytes,0.1869206428527832,0.173642,0.001424
blake2b-5610-bytes,0.18271446228027344,0.169888,0.001442
blake2b-5610-bytes,0.20737981796264648,0.192123,0.001225
blake2b-5610-bytes,0.152557373046875,0.140872,0.000997
blake2b-5610-bytes,0.15322661399841309,0.13968,0.001016
blake2b-5610-bytes,0.1873159408569336,0.173589,0.001446
blake2b-5610-bytes,0.18318581581115723,0.169643,0.001277
blake2b-5610-bytes,0.16010427474975586,0.147835,0.001078
blake2b-5610-bytes,0.16534042358398438,0.152024,0.001241
blake2b-5610-bytes,0.1692674160003662,0.154043,0.000998
blake2b-5610-bytes,0.20157837867736816,0.186343,0.001448
blake2b-5610-bytes,0.18871784210205078,0.174637,0.001001
blake2b-5610-bytes,0.15454936027526855,0.140221,0.001082
blake2b-5610-bytes,0.14942049980163574,0.134633,0.000975
blake2b-5610-bytes,0.15005135536193848,0.137435,0.001086
blake2b-5610-bytes,0.15559935569763184,0.140307,0.001085
blake2b-5610-bytes,0.17068958282470703,0.157356,0.000998
blake2b-5610-bytes,0.16723251342773438,0.155583,0.001619
blake2b-5610-bytes,0.16302752494812012,0.149945,0.00104
blake2b-5610-bytes,0.16689252853393555,0.152196,0.001483
blake2b-5610-bytes,0.18195343017578125,0.167104,0.001292
blake2b-5610-bytes,0.1614854335784912,0.149866,0.001104
blake2b-5610-bytes,0.15085673332214355,0.137076,0.001056
blake2b-5610-bytes,0.18128681182861328,0.168601,0.001298
blake2b-5610-bytes,0.17887306213378906,0.16546,0.001307
blake2b-5610-bytes,0.19776177406311035,0.183399,0.001361
blake2b-5610-bytes,0.1570446491241455,0.144192,0.001109
blake2b-5610-bytes,0.19505095481872559,0.180435,0.00114
blake2b-5610-bytes,0.18361449241638184,0.170489,0.001272
blake2b-5610-bytes,0.15474390983581543,0.141098,0.000993
blake2b-5610-bytes,0.15045523643493652,0.136791,0.000981
blake2b-5610-bytes,0.15905022621154785,0.14558,0.001035
blake2b-5610-bytes,0.16300320625305176,0.146668,0.001001
blake2b-5610-bytes,0.15955042839050293,0.146098,0.001135
blake2b-5610-bytes,0.18261218070983887,0.166572,0.001262
blake2b-5610-bytes,0.15423870086669922,0.141769,0.001545
blake2b-5610-bytes,0.14974427223205566,0.138042,0.000993
