test_name,elapsed_time,compile_time,exec_time
blake2b-8415-bytes,0.10927033424377441,0.006343,7.4e-05
blake2b-8415-bytes,0.09153366088867188,0.00642,6.4e-05
blake2b-8415-bytes,0.09060382843017578,0.006742,7.3e-05
blake2b-8415-bytes,0.09071493148803711,0.006128,0.000231
blake2b-8415-bytes,0.09443211555480957,0.007589,6.9e-05
blake2b-8415-bytes,0.095306396484375,0.008977,6e-05
blake2b-8415-bytes,0.09995651245117188,0.007647,7.2e-05
blake2b-8415-bytes,0.0931251049041748,0.00543,6.1e-05
blake2b-8415-bytes,0.08954811096191406,0.00766,9.4e-05
blake2b-8415-bytes,0.08677005767822266,0.006497,6.1e-05
blake2b-8415-bytes,0.09005951881408691,0.006208,6e-05
blake2b-8415-bytes,0.08996129035949707,0.006192,6.1e-05
blake2b-8415-bytes,0.09606528282165527,0.007308,0.000141
blake2b-8415-bytes,0.09598541259765625,0.006971,7.8e-05
blake2b-8415-bytes,0.08871936798095703,0.006084,6e-05
blake2b-8415-bytes,0.16747760772705078,0.013588,0.000177
blake2b-8415-bytes,0.22441911697387695,0.014277,0.000168
blake2b-8415-bytes,0.31839966773986816,0.007866,8.5e-05
blake2b-8415-bytes,0.1289081573486328,0.012897,9e-05
blake2b-8415-bytes,0.11526179313659668,0.007438,7.6e-05
blake2b-8415-bytes,0.10492372512817383,0.007751,7.8e-05
blake2b-8415-bytes,0.10732913017272949,0.007992,9e-05
blake2b-8415-bytes,0.10616517066955566,0.007463,7.2e-05
blake2b-8415-bytes,0.14615702629089355,0.009467,8.6e-05
blake2b-8415-bytes,0.11715006828308105,0.009858,8e-05
blake2b-8415-bytes,0.11704111099243164,0.009772,7.2e-05
blake2b-8415-bytes,0.10298657417297363,0.007442,7.6e-05
blake2b-8415-bytes,0.09384298324584961,0.006143,6.1e-05
blake2b-8415-bytes,0.09134721755981445,0.006223,6e-05
blake2b-8415-bytes,0.0935676097869873,0.007225,6.7e-05
blake2b-8415-bytes,0.09264516830444336,0.006028,6e-05
blake2b-8415-bytes,0.0919792652130127,0.006087,5.9e-05
blake2b-8415-bytes,0.0922231674194336,0.008349,6.6e-05
blake2b-8415-bytes,0.09526181221008301,0.008051,5.9e-05
blake2b-8415-bytes,0.09022784233093262,0.006106,5.9e-05
blake2b-8415-bytes,0.09777426719665527,0.007359,8.6e-05
blake2b-8415-bytes,0.09814095497131348,0.00735,7.4e-05
blake2b-8415-bytes,0.09087324142456055,0.006641,8.7e-05
blake2b-8415-bytes,0.09202837944030762,0.007616,0.000145
blake2b-8415-bytes,0.09065055847167969,0.005845,5.8e-05
blake2b-8415-bytes,0.09122943878173828,0.006862,7.2e-05
blake2b-8415-bytes,0.09392809867858887,0.007446,6.4e-05
blake2b-8415-bytes,0.09736776351928711,0.00679,7.2e-05
blake2b-8415-bytes,0.08973121643066406,0.006954,8.2e-05
blake2b-8415-bytes,0.08905601501464844,0.006197,6.3e-05
blake2b-8415-bytes,0.08442258834838867,0.005659,5.6e-05
blake2b-8415-bytes,0.09029579162597656,0.00689,9.4e-05
blake2b-8415-bytes,0.09511375427246094,0.007126,7.1e-05
blake2b-8415-bytes,0.0924978256225586,0.006471,5.9e-05
blake2b-8415-bytes,0.08475732803344727,0.005708,5.9e-05
blake2b-2805-bytes,0.10432887077331543,0.008063,3.9e-05
blake2b-2805-bytes,0.09666872024536133,0.006995,4.3e-05
blake2b-2805-bytes,0.09130120277404785,0.006795,4e-05
blake2b-2805-bytes,0.09142398834228516,0.006371,4.3e-05
blake2b-2805-bytes,0.08730792999267578,0.007278,3.5e-05
blake2b-2805-bytes,0.09876012802124023,0.008379,4.5e-05
blake2b-2805-bytes,0.10222411155700684,0.007768,3.8e-05
blake2b-2805-bytes,0.0940394401550293,0.006187,3.5e-05
blake2b-2805-bytes,0.09450531005859375,0.007247,4.1e-05
blake2b-2805-bytes,0.08855223655700684,0.006972,7.2e-05
blake2b-2805-bytes,0.09749388694763184,0.006626,9.6e-05
blake2b-2805-bytes,0.09163260459899902,0.006843,2.6e-05
blake2b-2805-bytes,0.1009674072265625,0.008821,4.6e-05
blake2b-2805-bytes,0.09704828262329102,0.005815,3e-05
blake2b-2805-bytes,0.09437417984008789,0.006932,3.6e-05
blake2b-2805-bytes,0.09632682800292969,0.006347,4.2e-05
blake2b-2805-bytes,0.09087419509887695,0.006157,3.2e-05
blake2b-2805-bytes,0.09371328353881836,0.006963,6.6e-05
blake2b-2805-bytes,0.09652185440063477,0.006735,3.8e-05
blake2b-2805-bytes,0.10262513160705566,0.007627,4.6e-05
blake2b-2805-bytes,0.10168576240539551,0.007049,3.5e-05
blake2b-2805-bytes,0.09781002998352051,0.006879,3.3e-05
blake2b-2805-bytes,0.09277224540710449,0.007065,3.9e-05
blake2b-2805-bytes,0.08931612968444824,0.007443,2.4e-05
blake2b-2805-bytes,0.09282732009887695,0.00526,3.3e-05
blake2b-2805-bytes,0.09605002403259277,0.007324,5e-05
blake2b-2805-bytes,0.0970761775970459,0.007035,4.2e-05
blake2b-2805-bytes,0.09952068328857422,0.007,3.6e-05
blake2b-2805-bytes,0.09165406227111816,0.005548,3.1e-05
blake2b-2805-bytes,0.08980274200439453,0.006475,3.4e-05
blake2b-2805-bytes,0.0969846248626709,0.007693,3.8e-05
blake2b-2805-bytes,0.09267640113830566,0.007471,6.5e-05
blake2b-2805-bytes,0.0912775993347168,0.006983,2.8e-05
blake2b-2805-bytes,0.09309768676757812,0.007448,3.8e-05
blake2b-2805-bytes,0.09929180145263672,0.007513,4.3e-05
blake2b-2805-bytes,0.08974194526672363,0.00546,3.3e-05
blake2b-2805-bytes,0.09991621971130371,0.007385,4e-05
blake2b-2805-bytes,0.09889864921569824,0.006622,4.3e-05
blake2b-2805-bytes,0.1354532241821289,0.012371,4.6e-05
blake2b-2805-bytes,0.1358489990234375,0.009271,4.5e-05
blake2b-2805-bytes,0.11095309257507324,0.008395,5.1e-05
blake2b-2805-bytes,0.11289048194885254,0.008169,4.5e-05
blake2b-2805-bytes,0.10233497619628906,0.007793,4.8e-05
blake2b-2805-bytes,0.10539436340332031,0.007689,5.1e-05
blake2b-2805-bytes,0.0999441146850586,0.007256,3.5e-05
blake2b-2805-bytes,0.09486055374145508,0.006822,4.2e-05
blake2b-2805-bytes,0.09537839889526367,0.007152,4.3e-05
blake2b-2805-bytes,0.0929713249206543,0.006251,4.2e-05
blake2b-2805-bytes,0.08965325355529785,0.006586,2.9e-05
blake2b-2805-bytes,0.09147381782531738,0.006528,3.7e-05
blake2b-5610-bytes,0.14707493782043457,0.010217,6.5e-05
blake2b-5610-bytes,0.11753344535827637,0.007696,6.4e-05
blake2b-5610-bytes,0.10355472564697266,0.007735,6e-05
blake2b-5610-bytes,0.1272733211517334,0.011365,9.5e-05
blake2b-5610-bytes,0.12823486328125,0.008598,5.8e-05
blake2b-5610-bytes,0.11984944343566895,0.007993,6.1e-05
blake2b-5610-bytes,0.09434962272644043,0.006238,5.8e-05
blake2b-5610-bytes,0.08780431747436523,0.007061,0.000106
blake2b-5610-bytes,0.11728763580322266,0.008679,6.7e-05
blake2b-5610-bytes,0.13237380981445312,0.007922,5.4e-05
blake2b-5610-bytes,0.10231471061706543,0.0073,5.8e-05
blake2b-5610-bytes,0.1236729621887207,0.008603,6.5e-05
blake2b-5610-bytes,0.1209862232208252,0.00901,6.6e-05
blake2b-5610-bytes,0.13966965675354004,0.008866,6.4e-05
blake2b-5610-bytes,0.1311969757080078,0.009319,6.1e-05
blake2b-5610-bytes,0.11760306358337402,0.008921,6.2e-05
blake2b-5610-bytes,0.11182403564453125,0.007624,8.6e-05
blake2b-5610-bytes,0.10229229927062988,0.007119,5.2e-05
blake2b-5610-bytes,0.10007524490356445,0.006527,5.4e-05
blake2b-5610-bytes,0.09122633934020996,0.007189,4.5e-05
blake2b-5610-bytes,0.30250024795532227,0.01667,0.000127
blake2b-5610-bytes,0.2164454460144043,0.01722,0.000121
blake2b-5610-bytes,0.17441439628601074,0.007862,7.6e-05
blake2b-5610-bytes,0.12325072288513184,0.009292,0.000166
blake2b-5610-bytes,0.10399460792541504,0.007265,5.1e-05
blake2b-5610-bytes,0.09940409660339355,0.007957,5.5e-05
blake2b-5610-bytes,0.10976362228393555,0.008053,4.9e-05
blake2b-5610-bytes,0.11450958251953125,0.008126,5.2e-05
blake2b-5610-bytes,0.11316466331481934,0.008637,6.5e-05
blake2b-5610-bytes,0.14998722076416016,0.010054,6.8e-05
blake2b-5610-bytes,0.14178705215454102,0.00883,5.6e-05
blake2b-5610-bytes,0.12031054496765137,0.007576,5.4e-05
blake2b-5610-bytes,0.10057187080383301,0.007591,5.6e-05
blake2b-5610-bytes,0.1074364185333252,0.007298,6.2e-05
blake2b-5610-bytes,0.10706734657287598,0.007189,5.4e-05
blake2b-5610-bytes,0.09602785110473633,0.006875,5.6e-05
blake2b-5610-bytes,0.12141299247741699,0.010665,9.4e-05
blake2b-5610-bytes,0.13050603866577148,0.00806,8.6e-05
blake2b-5610-bytes,0.10424566268920898,0.007206,5.9e-05
blake2b-5610-bytes,0.09651589393615723,0.006971,5.8e-05
blake2b-5610-bytes,0.09009742736816406,0.005939,4.4e-05
blake2b-5610-bytes,0.09753727912902832,0.007919,5.9e-05
blake2b-5610-bytes,0.1048882007598877,0.007629,5.9e-05
blake2b-5610-bytes,0.11187100410461426,0.007966,6.4e-05
blake2b-5610-bytes,0.11023068428039551,0.007882,6.3e-05
blake2b-5610-bytes,0.11033868789672852,0.008868,6.9e-05
blake2b-5610-bytes,0.1202855110168457,0.010058,7.2e-05
blake2b-5610-bytes,0.11675620079040527,0.008393,5.9e-05
blake2b-5610-bytes,0.10927414894104004,0.008065,6.2e-05
blake2b-5610-bytes,0.10040760040283203,0.006979,6e-05
