test_name,elapsed_time,compile_time,exec_time
blake2b-2805-bytes,0.09269332885742188,0.011789,2.7e-05
blake2b-2805-bytes,0.09676766395568848,0.014834,2.1e-05
blake2b-2805-bytes,0.10010504722595215,0.016099,2.7e-05
blake2b-2805-bytes,0.11546826362609863,0.017637,3e-05
blake2b-2805-bytes,0.14052486419677734,0.023792,3.8e-05
blake2b-2805-bytes,0.12300896644592285,0.014508,3e-05
blake2b-2805-bytes,0.1072092056274414,0.015836,2.6e-05
blake2b-2805-bytes,0.12173175811767578,0.018855,3.5e-05
blake2b-2805-bytes,0.11908984184265137,0.017277,3.4e-05
blake2b-2805-bytes,0.11006355285644531,0.016819,2.7e-05
blake2b-2805-bytes,0.14719414710998535,0.020073,0.000162
blake2b-2805-bytes,0.12856841087341309,0.019837,2.7e-05
blake2b-2805-bytes,0.12870073318481445,0.021811,2.8e-05
blake2b-2805-bytes,0.11765503883361816,0.017781,3.5e-05
blake2b-2805-bytes,0.11171340942382812,0.011479,4.2e-05
blake2b-2805-bytes,0.12582063674926758,0.015341,3.8e-05
blake2b-2805-bytes,0.14754509925842285,0.021636,3.6e-05
blake2b-2805-bytes,0.10953831672668457,0.015754,3.2e-05
blake2b-2805-bytes,0.10147690773010254,0.01195,4.1e-05
blake2b-2805-bytes,0.09955263137817383,0.012453,2.5e-05
blake2b-2805-bytes,0.1072850227355957,0.017448,3.6e-05
blake2b-2805-bytes,0.10172915458679199,0.014943,6.9e-05
blake2b-2805-bytes,0.10659909248352051,0.017719,3.2e-05
blake2b-2805-bytes,0.10900115966796875,0.017942,2.9e-05
blake2b-2805-bytes,0.10614895820617676,0.016832,2.7e-05
blake2b-2805-bytes,0.10078978538513184,0.010762,2.2e-05
blake2b-2805-bytes,0.10042977333068848,0.015088,2.4e-05
blake2b-2805-bytes,0.10627532005310059,0.018392,3.5e-05
blake2b-2805-bytes,0.10428476333618164,0.01489,2.4e-05
blake2b-2805-bytes,0.1038975715637207,0.016376,2.1e-05
blake2b-2805-bytes,0.11829781532287598,0.017485,4.4e-05
blake2b-2805-bytes,0.12152552604675293,0.018381,3.8e-05
blake2b-2805-bytes,0.10933709144592285,0.01805,2.5e-05
blake2b-2805-bytes,0.10563778877258301,0.018783,3.5e-05
blake2b-2805-bytes,0.10221266746520996,0.016144,2.5e-05
blake2b-2805-bytes,0.10674881935119629,0.016747,2.6e-05
blake2b-2805-bytes,0.10131645202636719,0.014136,2.1e-05
blake2b-2805-bytes,0.10612845420837402,0.014463,3.5e-05
blake2b-2805-bytes,0.10425376892089844,0.015585,2.8e-05
blake2b-2805-bytes,0.09525656700134277,0.015519,2.7e-05
blake2b-2805-bytes,0.0951693058013916,0.01595,6.3e-05
blake2b-2805-bytes,0.10743522644042969,0.018037,3.4e-05
blake2b-2805-bytes,0.10665392875671387,0.016059,2.7e-05
blake2b-2805-bytes,0.10556149482727051,0.01668,3e-05
blake2b-2805-bytes,0.10038876533508301,0.010167,2.6e-05
blake2b-2805-bytes,0.10509920120239258,0.018085,2.6e-05
blake2b-2805-bytes,0.10011887550354004,0.019541,2.1e-05
blake2b-2805-bytes,0.09766864776611328,0.013348,2.5e-05
blake2b-2805-bytes,0.09945011138916016,0.015412,2.8e-05
blake2b-5610-bytes,0.12253737449645996,0.021187,5.5e-05
blake2b-5610-bytes,0.13129711151123047,0.024071,4.3e-05
blake2b-5610-bytes,0.12454080581665039,0.021792,4.5e-05
blake2b-5610-bytes,0.1035761833190918,0.012128,4.4e-05
blake2b-5610-bytes,0.11139678955078125,0.020337,4.3e-05
blake2b-5610-bytes,0.11545968055725098,0.023489,4.9e-05
blake2b-5610-bytes,0.12263321876525879,0.021229,3.6e-05
blake2b-5610-bytes,0.10415267944335938,0.015078,4.4e-05
blake2b-5610-bytes,0.12385940551757812,0.019928,3.9e-05
blake2b-5610-bytes,0.12806487083435059,0.019532,7.1e-05
blake2b-5610-bytes,0.1259138584136963,0.020685,3.7e-05
blake2b-5610-bytes,0.11672329902648926,0.022618,4.4e-05
blake2b-5610-bytes,0.11776161193847656,0.021546,3.8e-05
