test_name,elapsed_time,compile_time,exec_time
blake2b-8415-bytes,0.041751861572265625,0.02406,0.006676
blake2b-8415-bytes,0.04480457305908203,0.029092,0.004854
blake2b-8415-bytes,0.052301883697509766,0.032678,0.00597
blake2b-8415-bytes,0.04122114181518555,0.024086,0.00554
blake2b-8415-bytes,0.04075264930725098,0.023382,0.005477
blake2b-8415-bytes,0.0411219596862793,0.023642,0.00519
blake2b-8415-bytes,0.03883647918701172,0.022072,0.005411
blake2b-8415-bytes,0.041518211364746094,0.023389,0.005373
blake2b-8415-bytes,0.03692913055419922,0.021568,0.005043
blake2b-8415-bytes,0.03877997398376465,0.02251,0.004987
blake2b-8415-bytes,0.03614997863769531,0.019761,0.005168
blake2b-8415-bytes,0.03512263298034668,0.020055,0.004958
blake2b-8415-bytes,0.03779768943786621,0.021634,0.005164
blake2b-8415-bytes,0.035634517669677734,0.020776,0.005221
blake2b-8415-bytes,0.0354156494140625,0.020668,0.005133
blake2b-8415-bytes,0.03382587432861328,0.019845,0.004828
blake2b-8415-bytes,0.03695392608642578,0.022826,0.005117
blake2b-8415-bytes,0.03508138656616211,0.019967,0.005153
blake2b-8415-bytes,0.036386966705322266,0.020337,0.005082
blake2b-8415-bytes,0.04449105262756348,0.024522,0.005076
blake2b-8415-bytes,0.036275386810302734,0.020233,0.005075
blake2b-8415-bytes,0.034418344497680664,0.020019,0.004492
blake2b-8415-bytes,0.03649735450744629,0.020714,0.003958
blake2b-8415-bytes,0.04087185859680176,0.021794,0.004365
blake2b-8415-bytes,0.035204410552978516,0.017692,0.004552
blake2b-8415-bytes,0.03750348091125488,0.021298,0.00527
blake2b-8415-bytes,0.035980224609375,0.020348,0.004998
blake2b-8415-bytes,0.03520345687866211,0.020088,0.004438
blake2b-8415-bytes,0.03368186950683594,0.019259,0.004108
blake2b-8415-bytes,0.044339895248413086,0.026959,0.004341
blake2b-8415-bytes,0.009325981140136719,0.020232,0.00492
blake2b-8415-bytes,0.033172607421875,0.01961,0.004667
blake2b-8415-bytes,0.03493237495422363,0.017665,0.004868
blake2b-8415-bytes,0.03473639488220215,0.019053,0.005153
blake2b-8415-bytes,0.03582763671875,0.020501,0.005003
blake2b-8415-bytes,0.03716778755187988,0.022599,0.004059
blake2b-8415-bytes,0.03537702560424805,0.020498,0.005176
blake2b-8415-bytes,0.03619885444641113,0.021749,0.004729
blake2b-8415-bytes,0.03380417823791504,0.0196,0.004891
blake2b-8415-bytes,0.04093480110168457,0.023258,0.004524
blake2b-8415-bytes,0.04260373115539551,0.022872,0.008509
blake2b-8415-bytes,0.04203200340270996,0.023999,0.006749
blake2b-8415-bytes,0.04187631607055664,0.020903,0.00762
blake2b-8415-bytes,0.04257035255432129,0.02338,0.005601
blake2b-8415-bytes,0.05637311935424805,0.03653,0.006409
blake2b-8415-bytes,0.048357248306274414,0.028554,0.006162
blake2b-8415-bytes,0.04528045654296875,0.024981,0.006047
blake2b-8415-bytes,0.041690826416015625,0.021044,0.006119
blake2b-8415-bytes,0.04804205894470215,0.024305,0.006535
blake2b-8415-bytes,0.045352935791015625,0.025752,0.005811
blake2b-2805-bytes,0.030446767807006836,0.017099,0.001818
blake2b-2805-bytes,0.028197288513183594,0.017802,0.001755
blake2b-2805-bytes,0.03221774101257324,0.0196,0.00194
